iter	Passed	Remaining
917	42544	189177
918	42592	189140
919	42638	189090
920	42682	189036
921	42737	189026
922	42787	188997
923	42830	188937
924	42873	188874
925	42915	188811
926	42960	188759
927	43001	188687
928	43049	188649
929	43095	188600
930	43142	188559
931	43191	188523
932	43239	188482
933	43286	188438
934	43327	188372
935	43370	188309
936	43416	188262
937	43460	188203
938	43509	188168
939	43550	188100
940	43605	188091
941	43657	188069
942	43698	187999
943	43743	187946
944	43799	187945
945	43855	187938
946	43909	187924
947	43958	187891
948	44007	187855
949	44056	187820
950	44106	187789
951	44160	187776
952	44214	187762
953	44265	187734
954	44309	187675
955	44358	187640
956	44411	187624
957	44458	187580
958	44499	187508
959	44548	187474
960	44595	187432
961	44645	187400
962	44688	187339
963	44727	187263
964	44776	187227
965	44823	187183
966	44879	187174
967	44927	187136
968	44978	187109
969	45022	187051
970	45072	187020
971	45123	186992
972	45173	186962
973	45226	186943
974	45273	186897
975	45319	186852
976	45380	186864
977	45431	186837
978	45487	186828
979	45529	186765
980	45575	186715
981	45623	186675
982	45673	186643
983	45742	186687
984	45810	186730
985	45870	186737
986	45939	186781
987	45995	186774
988	46046	186747
989	46101	186734
990	46149	186694
991	46197	186651
992	46244	186607
993	46287	186547
994	46335	186507
995	46383	186463
996	46450	186498
997	46513	186521
998	46582	186562
999	46645	186583
1000	46711	186614
1001	46762	186585
1002	46812	186551
1003	46861	186513
1004	46908	186466
1005	46959	186439
1006	47005	186387
1007	47053	186346
1008	47098	186293
1009	47137	186217
1010	47178	186148
1011	47223	186092
1012	47277	186075
1013	47325	186035
1014	47381	186023
1015	47435	186008
1016	47488	185986
1017	47535	185938
1018	47586	185908
1019	47630	185853
1020	47670	185780
1021	47718	185739
1022	47761	185676
1023	47804	185617
1024	47847	185553
1025	47890	185493
1026	47937	185446
1027	47983	185399
1028	48028	185346
1029	48075	185302
1030	48118	185240
1031	48166	185198
1032	48210	185143
1033	48256	185091
1034	48297	185024
1035	48340	184963
1036	48384	184906
1037	48427	184846
1038	48472	184792
1039	48517	184738
1040	48567	184704
1041	48614	184660
1042	48659	184605
1043	48700	184538
1044	48745	184488
1045	48786	184419
1046	48832	184371
1047	48881	184329
1048	48923	184267
1049	48970	184222
1050	49016	184173
1051	49083	184203
1052	49154	184247
1053	49210	184235
1054	49274	184253
1055	49338	184272
1056	49404	184297
1057	49484	184372
1058	49555	184416
1059	49621	184441
1060	49673	184413
1061	49719	184364
1062	49766	184318
1063	49813	184274
1064	49855	184208
1065	49899	184150
1066	49948	184112
1067	49991	184052
1068	50036	183997
1069	50085	183957
1070	50136	183926
1071	50186	183890
1072	50243	183884
1073	50295	183856
1074	50357	183864
1075	50421	183878
1076	50492	183918
1077	50554	183930
1078	50609	183911
1079	50656	183863
1080	50697	183795
1081	50742	183743
1082	50791	183702
1083	50833	183638
1084	50881	183595
1085	50931	183560
1086	50972	183491
1087	51016	183435
1088	51063	183387
1089	51106	183326
1090	51160	183306
1091	51215	183287
1092	51269	183265
1093	51325	183253
1094	51391	183274
1095	51440	183233
1096	51485	183178
1097	51530	183124
1098	51576	183075
1099	51626	183038
1100	51674	182996
1101	51719	182943
1102	51767	182899
1103	51814	182852
1104	51861	182805
1105	51904	182746
1106	51951	182699
1107	52008	182687
1108	52069	182688
1109	52133	182703
1110	52201	182727
1111	52265	182740
1112	52331	182762
1113	52395	182772
1114	52459	182785
1115	52529	182816
1116	52596	182840
1117	52661	182855
1118	52726	182871
1119	52793	182893
1120	52856	182898
1121	52922	182916
1122	52989	182938
1123	53055	182954
1124	53107	182925
1125	53152	182872
1126	53195	182809
1127	53240	182754
1128	53294	182730
1129	53339	182676
1130	53387	182631
1131	53431	182572
1132	53480	182531
1133	53524	182475
1134	53573	182432
1135	53623	182395
1136	53674	182362
1137	53726	182328
1138	53780	182304
1139	53834	182282
1140	53882	182238
1141	53926	182179
1142	53968	182113
1143	54016	182069
1144	54057	182002
1145	54100	181941
1146	54143	181880
1147	54189	181826
1148	54233	181770
1149	54278	181716
1150	54332	181688
1151	54374	181625
1152	54443	181651
1153	54509	181667
1154	54570	181664
1155	54636	181681
1156	54703	181697
1157	54758	181678
1158	54806	181633
1159	54856	181592
1160	54909	181566
1161	54962	181537
1162	55004	181473
1163	55048	181412
1164	55092	181356
1165	55141	181314
1166	55186	181258
1167	55228	181194
1168	55282	181170
1169	55344	181171
1170	55403	181160
1171	55452	181120
1172	55505	181090
1173	55566	181087
1174	55629	181090
1175	55697	181112
1176	55767	181138
1177	55836	181161
1178	55900	181166
1179	55953	181138
1180	55995	181072
1181	56051	181053
1182	56110	181043
1183	56184	181079
1184	56245	181076
1185	56307	181077
1186	56376	181096
1187	56435	181088
1188	56487	181053
1189	56539	181021
1190	56589	180982
1191	56634	180927
1192	56676	180859
1193	56720	180802
1194	56768	180755
1195	56816	180711
1196	56861	180654
1197	56902	180586
1198	56951	180543
1199	57007	180523
1200	57059	180489
1201	57116	180472
1202	57165	180429
1203	57210	180375
1204	57256	180321
1205	57299	180260
1206	57342	180198
1207	57390	180154
1208	57461	180179
1209	57522	180172
1210	57580	180159
1211	57645	180165
1212	57704	180153
1213	57766	180151
1214	57830	180153
1215	57892	180152
1216	57953	180147
1217	58008	180123
1218	58062	180094
1219	58124	180089
1220	58183	180076
1221	58240	180059
1222	58298	180043
1223	58356	180029
1224	58419	180027
1225	58480	180022
1226	58551	180046
1227	58617	180052
1228	58667	180010
1229	58707	179939
1230	58751	179880
1231	58798	179830
1232	58846	179784
1233	58891	179728
1234	58934	179665
1235	58984	179627
1236	59036	179591
1237	59086	179550
1238	59134	179504
1239	59184	179463
1240	59232	179415
1241	59287	179391
1242	59343	179366
1243	59395	179332
1244	59447	179298
1245	59500	179266
1246	59549	179221
1247	59602	179188
1248	59647	179133
1249	59692	179077
1250	59732	179006
1251	59778	178952
1252	59817	178880
1253	59857	178810
1254	59901	178750
1255	59946	178694
1256	59994	178646
1257	60036	178582
1258	60079	178520
1259	60131	178485
1260	60172	178418
1261	60220	178370
1262	60262	178307
1263	60303	178240
1264	60344	178171
1265	60386	178105
1266	60435	178063
1267	60480	178007
1268	60526	177953
1269	60566	177883
1270	60607	177816
1271	60656	177774
1272	60702	177719
1273	60743	177653
1274	60783	177581
1275	60827	177524
1276	60877	177484
1277	60919	177419
1278	60965	177368
1279	61012	177318
1280	61056	177259
1281	61108	177223
1282	61154	177171
1283	61203	177129
1284	61249	177076
1285	61291	177010
1286	61345	176981
1287	61395	176941
1288	61437	176877
1289	61484	176826
1290	61532	176779
1291	61581	176736
1292	61630	176693
1293	61671	176627
1294	61719	176580
1295	61760	176514
1296	61809	176470
1297	61849	176399
1298	61890	176331
1299	61930	176264
1300	61976	176212
1301	62019	176150
1302	62061	176085
1303	62104	176026
1304	62147	175965
1305	62193	175913
1306	62250	175892
1307	62293	175832
1308	62338	175777
1309	62381	175716
1310	62424	175655
1311	62476	175621
1312	62524	175572
1313	62571	175524
1314	62616	175468
1315	62661	175413
1316	62708	175363
1317	62754	175311
1318	62799	175258
1319	62841	175195
1320	62885	175137
1321	62935	175095
1322	62980	175041
1323	63024	174984
1324	63066	174919
1325	63104	174847
1326	63149	174790
1327	63191	174729
1328	63234	174669
1329	63281	174618
1330	63328	174568
1331	63374	174517
1332	63416	174455
1333	63460	174396
1334	63502	174334
1335	63544	174271
1336	63591	174223
1337	63636	174167
1338	63681	174114
1339	63722	174048
1340	63765	173988
1341	63812	173940
1342	63856	173883
1343	63899	173821
1344	63946	173774
1345	63989	173713
1346	64040	173675
1347	64089	173630
1348	64130	173566
1349	64182	173529
1350	64230	173483
1351	64277	173435
1352	64326	173390
1353	64369	173332
1354	64418	173287
1355	64471	173255
1356	64536	173255
1357	64596	173241
1358	64658	173230
1359	64725	173236
1360	64791	173237
1361	64849	173218
1362	64920	173232
1363	64979	173215
1364	65044	173214
1365	65106	173203
1366	65163	173182
1367	65228	173179
1368	65288	173165
1369	65344	173140
1370	65397	173106
1371	65441	173047
1372	65486	172993
1373	65530	172934
1374	65575	172880
1375	65627	172843
1376	65673	172793
1377	65717	172735
1378	65772	172707
1379	65817	172651
1380	65869	172616
1381	65927	172594
1382	65980	172559
1383	66035	172531
1384	66089	172500
1385	66134	172446
1386	66181	172395
1387	66225	172338
1388	66270	172284
1389	66315	172228
1390	66366	172190
1391	66412	172139
1392	66466	172105
1393	66511	172051
1394	66556	171996
1395	66605	171954
1396	66654	171908
1397	66699	171853
1398	66742	171794
1399	66785	171734
1400	66828	171674
1401	66878	171632
1402	66920	171569
1403	66968	171523
1404	67014	171471
1405	67063	171428
1406	67113	171385
1407	67160	171336
1408	67206	171284
1409	67255	171239
1410	67305	171197
1411	67353	171150
1412	67398	171096
1413	67444	171045
1414	67492	170996
1415	67547	170966
1416	67600	170933
1417	67649	170888
1418	67696	170839
1419	67749	170805
1420	67801	170767
1421	67847	170717
1422	67892	170661
1423	67943	170621
1424	67990	170571
1425	68040	170531
1426	68088	170484
1427	68137	170439
1428	68183	170388
1429	68227	170330
1430	68274	170281
1431	68326	170243
1432	68370	170186
1433	68419	170142
1434	68465	170091
1435	68512	170041
1436	68566	170009
1437	68613	169958
1438	68661	169913
1439	68707	169859
1440	68752	169806
1441	68802	169763
1442	68848	169712
1443	68902	169679
1444	68952	169637
1445	69003	169597
1446	69067	169590
1447	69132	169585
1448	69193	169570
1449	69260	169569
1450	69328	169569
1451	69378	169528
1452	69434	169500
1453	69485	169460
1454	69535	169418
1455	69580	169363
1456	69629	169318
1457	69696	169318
1458	69835	169490
1459	69978	169674
1460	70051	169686
1461	70102	169646
1462	70151	169601
1463	70215	169592
1464	70277	169577
1465	70343	169573
1466	70410	169571
1467	70474	169560
1468	70526	169522
1469	70570	169465
1470	70625	169433
1471	70668	169374
1472	70719	169332
1473	70760	169268
1474	70818	169244
1475	70867	169198
1476	70910	169139
1477	70962	169100
1478	71011	169054
1479	71069	169030
1480	71128	169007
1481	71180	168968
1482	71238	168945
1483	71284	168893
1484	71333	168847
1485	71383	168802
1486	71426	168742
1487	71474	168695
1488	71514	168628
1489	71559	168573
1490	71609	168529
1491	71654	168473
1492	71694	168407
1493	71740	168354
1494	71794	168319
1495	71841	168269
1496	71901	168249
1497	71960	168227
1498	72016	168198
1499	72079	168184
1500	72139	168165
1501	72189	168122
1502	72241	168082
1503	72289	168034
1504	72336	167983
1505	72380	167926
