iter	Passed	Remaining
209	14690	335086
210	14757	334937
211	14843	335248
212	14909	335077
213	14970	334801
214	15033	334580
215	15098	334396
216	15160	334149
217	15226	334002
218	15295	333927
219	15359	333723
220	15420	333456
221	15493	333469
222	15565	333441
223	15622	333083
224	15681	332790
225	15741	332519
226	15819	332625
227	15881	332406
228	15941	332126
229	16010	332038
230	16072	331808
231	16139	331698
232	16209	331638
233	16271	331416
234	16337	331262
235	16397	331001
236	16466	330934
237	16537	330889
238	16592	330527
239	16664	330504
240	16726	330300
241	16801	330331
242	16864	330144
243	16932	330050
244	17007	330078
245	17072	329924
246	17141	329850
247	17207	329726
248	17276	329638
249	17340	329473
250	17413	329478
251	17475	329259
252	17537	329047
253	17598	328826
254	17666	328737
255	17743	328801
256	17806	328632
257	17868	328417
258	17932	328257
259	17996	328091
260	18063	327980
261	18131	327895
262	18208	327969
263	18264	327659
264	18329	327502
265	18411	327668
266	18489	327760
267	18551	327564
268	18624	327561
269	18692	327466
270	18762	327406
271	18834	327386
272	18900	327261
273	18963	327087
274	19021	326823
275	19100	326924
276	19162	326738
277	19232	326672
278	19295	326510
279	19369	326518
280	19434	326369
281	19507	326367
282	19562	326065
283	19635	326067
284	19707	326043
285	19768	325832
286	19828	325611
287	19894	325499
288	19972	325577
289	20032	325351
290	20097	325220
291	20171	325224
292	20240	325154
293	20304	325004
294	20371	324915
295	20436	324768
296	20496	324568
297	20568	324533
298	20634	324425
299	20699	324298
300	20759	324082
301	20833	324094
302	20897	323938
303	20968	323902
304	21031	323746
305	21098	323649
306	21166	323569
307	21232	323443
308	21289	323205
309	21355	323088
310	21428	323080
311	21491	322929
312	21557	322807
313	21626	322741
314	21695	322677
315	21762	322587
316	21842	322669
317	21917	322694
318	21983	322587
319	22054	322545
320	22122	322459
321	22186	322318
322	22255	322262
323	22318	322099
324	22380	321939
325	22444	321794
326	22507	321642
327	22570	321490
328	22627	321249
329	22690	321101
330	22750	320907
331	22809	320712
332	22868	320503
333	22940	320484
334	23024	320626
335	23080	320376
336	23141	320203
337	23218	320251
338	23297	320319
339	23363	320218
340	23430	320120
341	23499	320065
342	23569	320005
343	23623	319743
344	23696	319724
345	23773	319777
346	23836	319630
347	23893	319401
348	23949	319171
349	24020	319129
350	24086	319032
351	24143	318804
352	24219	318834
353	24278	318642
354	24343	318526
355	24398	318276
356	24460	318120
357	24544	318251
358	24603	318059
359	24672	317999
360	24737	317883
361	24800	317748
362	24856	317523
363	24932	317551
364	25004	317525
365	25068	317396
366	25140	317368
367	25207	317288
368	25273	317187
369	25330	316978
370	25408	317018
371	25471	316887
372	25537	316783
373	25589	316519
374	25654	316401
375	25717	316264
376	25783	316169
377	25849	316080
378	25920	316032
379	25993	316022
380	26058	315922
381	26120	315766
382	26188	315697
383	26254	315598
384	26317	315465
385	26387	315416
386	26452	315314
387	26515	315183
388	26573	314986
389	26630	314782
390	26695	314683
391	26761	314579
392	26830	314530
393	26891	314370
394	26959	314303
395	27029	314249
396	27099	314200
397	27167	314135
398	27228	313975
399	27300	313952
